,DepartmentnWise Major Indian Exams Guide (PG /,,,,,
,,PhD / Research / Fellowships),,,,
,"Includes purpose after clearing exam, eligibility, syllabus overview, expected exam month, official",,,,,
,website and syllabus link,,,,,
,Chemical / Core Engineering Exams,,,,,
Exam,Purpose,Eligibility,Syllabus Overview,Month,Official Website,Syllabus Link
GATE,M.Tech / PhD / PSU Jobs,BE/BTech/MSc,"Maths, Thermodynamics, Fluid Mechanics, Heat & Mass Transfer",Feb,https://gate.iitk.ac.in,https://gate.iitk.ac.in/syllabus
ESE (Engineering Services),Govt Engineering Jobs,Engineering graduates,Engineering subjects + aptitude,Jun,https://upsc.gov.in,https://upsc.gov.in/examinations
BITS HD,ME / MTech programs,BE/BTech/MSc,Core engineering topics,May,https://bitsadmission.com,https://bitsadmission.com
TANCET,MTech / MBA TN universities,Bachelor degree,Engineering maths + core topics,Mar,https://annauniv.edu,https://annauniv.edu
VITMEE,MTech at VIT,BE/BTech,Engineering core subjects,Apr,https://vit.ac.in,https://vit.ac.in
SRMJEEE PG,MTech at SRM,BE/BTech,Engineering core subjects,May,https://srmist.edu.in,https://srmist.edu.in
AP PGECET,MTech Andhra Pradesh,Engineering graduates,Engineering discipline topics,May,https://sche.ap.gov.in,https://sche.ap.gov.in
TS PGECET,MTech Telangana,Engineering graduates,Engineering discipline topics,May,https://pgecet.tsche.ac.in,https://pgecet.tsche.ac.in
,Biotechnology / Life Sciences Exams,,,,,
Exam,Purpose,Eligibility,Syllabus Overview,Month,Official Website,Syllabus Link
GATnB,MSc Biotechnology,BSc Life Sciences,"Biology, Chemistry, Maths, Biotechnology basics",Apr,https://dbt.nta.ac.in,https://dbt.nta.ac.in
DBTnJRF BET,PhD Biotechnology fellowship,MSc Biotechnology,"Biochemistry, Molecular Biology",May,https://dbtindia.gov.in,https://dbtindia.gov.in
ICMR JRF,PhD Biomedical Sciences,MSc Life Sciences,"Biochemistry, Microbiology, Immunology",Jul,https://main.icmr.nic.in,https://main.icmr.nic.in
JGEEBILS,PhD Biology institutes,BSc/MSc Biology,"Cell biology, Genetics, Ecology",Dec,https://ncbs.res.in/jgeebils,https://ncbs.res.in/jgeebils
ICAR AICE JRF/SRF,Agriculture MSc / PhD,Agriculture graduates,Agricultural sciences topics,Jun,https://icar.nta.nic.in,https://icar.nta.nic.in
AIIMS PhD Entrance,PhD biomedical sciences,Masters degree,Biomedical science concepts,Jan,https://aiimsexams.ac.in,https://aiimsexams.ac.in
JIPMER PhD Entrance,PhD medical sciences,Masters degree,Medical science topics,Jul,https://jipmer.edu.in,https://jipmer.edu.in
,Chemistry / Chemical Sciences Exams,,,,,
Exam,Purpose,Eligibility,Syllabus Overview,Month,Official Website,Syllabus Link
CSIRnUGC NET,PhD / JRF fellowship,MSc Chemistry,"Organic, Inorganic, Physical Chemistry",Jun & Dec,https://csirnet.nta.nic.in,https://csirhrdg.res.in
IIT JAM,MSc Chemistry / Science,BSc students,"Organic, Physical, Inorganic Chemistry",Feb,https://jam.iitb.ac.in,https://jam.iitb.ac.in/Syllabus.html
TIFR GS,PhD / Integrated PhD,BSc/MSc Science,Core chemistry concepts + aptitude,Dec,https://tifr.res.in,https://tifr.res.in
CUET PG,PG admissions central universities,Bachelor degree,Subject specific UG syllabus,Mar,https://pgcuet.samarth.ac.in,https://pgcuet.samarth.ac.in
GSET,Assistant professor eligibility,Postgraduates,Subject + teaching aptitude,Dec,https://gujaratset.ac.in,https://gujaratset.ac.in
MH SET,Assistant professor eligibility,Postgraduates,Subject + teaching aptitude,Mar,https://setexam.unipune.ac.in,https://setexam.unipune.ac.in
,Bioinformatics / Computational Biology Exams,,,,,
Exam,Purpose,Eligibility,Syllabus Overview,Month,Official Website,Syllabus Link
GATE Life Sciences,MTech Bioinformatics,BSc/MSc Life Sciences,"Biochemistry, Molecular Biology, Maths",Feb,https://gate.iitk.ac.in,https://gate.iitk.ac.in/syllabus
CSIR NET Life Sciences,PhD / JRF research,MSc Life sciences,"Cell biology, Genetics, Evolution",Jun & Dec,https://csirnet.nta.nic.in,https://csirhrdg.res.in
JGEEBILS,PhD Biology / Bioinformatics,BSc/MSc Biology,"Biochemistry, Cell Biology",Dec,https://ncbs.res.in/jgeebils,https://ncbs.res.in/jgeebils
TIFR GS Biology,PhD Biology programs,BSc/MSc Biology,Biology + aptitude,Dec,https://tifr.res.in,https://tifr.res.in
,Bioengineering / Nanotechnology Exams,,,,,
Exam,Purpose,Eligibility,Syllabus Overview,Month,Official Website,Syllabus Link
GATE,MTech Nanotechnology / Bioengineering,BE/BTech/MSc,"Engineering maths, materials science",Feb,https://gate.iitk.ac.in,https://gate.iitk.ac.in/syllabus
CSIR NET,PhD nanoscience research,MSc science,"Materials chemistry, nanoscience basics",Jun & Dec,https://csirnet.nta.nic.in,https://csirhrdg.res.in
VITREE,PhD programs at VIT,Masters degree,Research aptitude + subject basics,Jun,https://vit.ac.in,https://vit.ac.in
SRM PhD Entrance,PhD programs at SRM,Masters degree,Subject research topics,Jun,https://srmist.edu.in,https://srmist.edu.in
